route_id,train_id,sequence_number,station_id,arrival_time,departure_time,distance_from_source
1,1,1,1,NULL,16:00:00,0
2,1,2,7,19:30:00,19:35:00,180
3,1,3,9,05:30:00,05:35:00,800
4,1,4,2,08:30:00,NULL,1200
5,2,1,2,NULL,06:00:00,0
6,2,2,16,09:30:00,09:35:00,240
7,2,3,1,13:00:00,NULL,440
8,3,1,3,NULL,20:00:00,0
9,3,2,10,04:30:00,04:35:00,520
10,3,3,4,10:00:00,NULL,1300
11,4,1,5,NULL,08:00:00,0
12,4,2,7,12:30:00,12:35:00,350
13,4,3,6,16:00:00,NULL,560
14,5,1,7,NULL,07:00:00,0
15,5,2,9,12:00:00,12:05:00,400
16,5,3,8,16:30:00,NULL,650
17,6,1,9,NULL,09:00:00,0
18,6,2,10,14:00:00,NULL,500
19,7,1,4,NULL,15:00:00,0
20,7,2,3,22:00:00,NULL,1300
21,8,1,6,NULL,11:00:00,0
22,8,2,5,16:00:00,NULL,560
23,9,1,8,NULL,10:00:00,0
24,9,2,7,15:30:00,NULL,650
25,10,1,10,NULL,12:00:00,0
26,10,2,9,19:00:00,NULL,500
27,11,1,2,NULL,08:30:00,0
28,11,2,16,11:00:00,11:05:00,240
29,11,3,8,15:30:00,NULL,450
30,12,1,2,NULL,19:00:00,0
31,12,2,9,03:00:00,03:05:00,800
32,12,3,5,10:00:00,NULL,1500
33,13,1,2,NULL,20:00:00,0
34,13,2,5,05:00:00,05:05:00,1500
35,13,3,14,14:00:00,NULL,3000
36,14,1,8,NULL,09:00:00,0
37,14,2,1,20:00:00,20:05:00,1100
38,14,3,15,06:00:00,NULL,1800
39,15,1,2,NULL,17:00:00,0
40,15,2,16,20:30:00,20:35:00,240
41,15,3,17,23:00:00,23:05:00,400
42,15,4,12,06:00:00,NULL,1000
43,16,1,7,NULL,23:00:00,0
44,16,2,1,06:00:00,NULL,180
45,17,1,4,NULL,21:00:00,0
46,17,2,18,01:00:00,01:05:00,300
47,17,3,2,08:00:00,NULL,1300
48,18,1,1,NULL,22:00:00,0
49,18,2,4,08:00:00,NULL,1300
50,19,1,7,NULL,07:15:00,0
51,19,2,1,10:45:00,NULL,180
52,20,1,6,NULL,18:00:00,0
53,20,2,1,08:00:00,NULL,560
