schedule_id,train_id,running_days,start_date,end_date
1,1,1111111,2023-01-01,2023-12-31
2,2,0111110,2023-01-01,2023-12-31
3,3,1010101,2023-01-01,2023-12-31
4,4,1111111,2023-01-01,2023-12-31
5,5,0011001,2023-01-01,2023-12-31
6,6,1111111,2023-01-01,2023-12-31
7,7,1111111,2023-01-01,2023-12-31
8,8,0111110,2023-01-01,2023-12-31
9,9,1010101,2023-01-01,2023-12-31
10,10,1111111,2023-01-01,2023-12-31
11,11,1111100,2023-01-01,2023-12-31
12,12,1111111,2023-01-01,2023-12-31
13,13,1111111,2023-01-01,2023-12-31
14,14,1111111,2023-01-01,2023-12-31
15,15,1111111,2023-01-01,2023-12-31
16,16,1111111,2023-01-01,2023-12-31
17,17,1111111,2023-01-01,2023-12-31
18,18,1111111,2023-01-01,2023-12-31
19,19,1111111,2023-01-01,2023-12-31
20,20,1111111,2023-01-01,2023-12-31
