train_id,class_id,total_seats,available_seats
1,2,150,50
1,3,100,30
1,4,50,10
2,3,120,40
2,4,80,20
3,1,200,100
3,2,150,75
4,1,250,150
4,2,150,50
5,1,200,100
5,3,100,30
6,2,180,90
6,5,200,150
7,3,100,20
7,4,50,10
8,2,150,50
8,3,100,30
9,1,200,100
9,5,200,150
10,2,200,100
10,3,150,50
11,6,150,75
11,7,50,15
12,1,200,120
12,2,150,80
12,3,100,40
13,1,200,100
13,2,150,75
13,3,100,50
14,1,200,150
14,2,150,100
15,2,150,60
15,3,100,30
15,4,50,10
16,2,150,70
16,3,100,40
17,1,250,150
17,2,150,80
18,1,250,120
18,2,150,90
19,6,200,100
20,1,250,150
20,2,150,100
